rank	taxid	name	clade_reads	direct_reads	percent
S	40215	Acinetobacter junii	2	2	0.00
S	2943497	Acinetobacter tibetensis	1	1	0.00
S	202952	Acinetobacter gerneri	1	1	0.00
S	40216	Acinetobacter radioresistens	1	1	0.00
S	106648	Acinetobacter bereziniae	1	1	0.00
S	70346	Acinetobacter variabilis	1	1	0.00
G	2824158	Aquirhabdus	68	0	0.03
S	2283318	Aquirhabdus parva	68	68	0.03
G	475	Moraxella	1	0	0.00
G1	2685852	unclassified Moraxella	1	0	0.00
S	2953752	Moraxella sp. FZFQ2102	1	1	0.00
O	135624	Aeromonadales	2426	0	1.06
F	84642	Aeromonadaceae	2426	0	1.06
G	43947	Tolumonas	1916	0	0.84
S	43948	Tolumonas auensis	1916	74	0.84
S1	595494	Tolumonas auensis DSM 9187	1842	1842	0.80
G	642	Aeromonas	510	3	0.22
S	651	Aeromonas media	273	273	0.12
S	948519	Aeromonas rivipollensis	144	144	0.06
S	73010	Aeromonas encheleia	41	41	0.02
S	648	Aeromonas caviae	35	35	0.02
G1	257493	unclassified Aeromonas	9	0	0.00
S	2778052	Aeromonas sp. FDAARGOS 1403	8	8	0.00
S	2033032	Aeromonas sp. CA23	1	1	0.00
S	654	Aeromonas veronii	4	4	0.00
S	29489	Aeromonas enteropelogenes	1	1	0.00
O	1706369	Cellvibrionales	1847	0	0.81
F	1706372	Halieaceae	1839	0	0.80
G	2847769	Aequoribacter	1838	0	0.80
S	2518989	Aequoribacter fuscus	1838	1838	0.80
G	393661	Congregibacter	1	0	0.00
S	393662	Congregibacter litoralis	1	0	0.00
S1	314285	Congregibacter litoralis KT71	1	1	0.00
F	1706373	Microbulbiferaceae	6	0	0.00
G	48073	Microbulbifer	6	0	0.00
S	252514	Microbulbifer thermotolerans	6	6	0.00
F	1706371	Cellvibrionaceae	2	0	0.00
G	10	Cellvibrio	1	0	0.00
G1	2624793	unclassified Cellvibrio	1	0	0.00
S	1945512	Cellvibrio sp. PSBB023	1	1	0.00
G	447467	Simiduia	1	0	0.00
S	447471	Simiduia agarivorans	1	0	0.00
S1	1117647	Simiduia agarivorans SA1 = DSM 21679	1	1	0.00
O	135625	Pasteurellales	1714	0	0.75
F	712	Pasteurellaceae	1714	3	0.75
G	476528	Bibersteinia	1074	0	0.47
S	47735	Bibersteinia trehalosi	1074	249	0.47
S1	1263832	Bibersteinia trehalosi USDA-ARS-USMARC-190	742	742	0.32
S1	1263829	Bibersteinia trehalosi USDA-ARS-USMARC-188	53	53	0.02
S1	1263831	Bibersteinia trehalosi USDA-ARS-USMARC-189	30	30	0.01
G	2094023	Glaesserella	538	0	0.23
S	738	Glaesserella parasuis	538	436	0.23
S1	456298	Glaesserella parasuis 29755	101	101	0.04
S1	557723	Glaesserella parasuis SH0165	1	1	0.00
G	75984	Mannheimia	69	0	0.03
S	85404	Mannheimia varigena	69	62	0.03
S1	1434214	Mannheimia varigena USDA-ARS-USMARC-1312	3	3	0.00
S1	1434215	Mannheimia varigena USDA-ARS-USMARC-1388	3	3	0.00
S1	1433287	Mannheimia varigena USDA-ARS-USMARC-1296	1	1	0.00
G	214906	Histophilus	26	0	0.01
S	731	Histophilus somni	26	26	0.01
G	724	Haemophilus	3	0	0.00
S	730	[Haemophilus] ducreyi	3	3	0.00
G	155493	Gallibacterium	1	0	0.00
S	505341	Gallibacterium salpingitidis	1	1	0.00
O	1934945	Immundisolibacterales	1499	0	0.65
F	1934946	Immundisolibacteraceae	1499	0	0.65
G	1934947	Immundisolibacter	1499	0	0.65
S	1810504	Immundisolibacter cernigliae	1499	1499	0.65
O	135618	Methylococcales	1004	0	0.44
F	403	Methylococcaceae	1004	0	0.44
G	416	Methylomonas	981	1	0.43
S	1538553	Methylomonas denitrificans	977	977	0.43
G1	2608980	unclassified Methylomonas	3	0	0.00
S	1727196	Methylomonas sp. DH-1	2	2	0.00
S	3040943	Methylomonas sp. UP202	1	1	0.00
G	762296	Methylovulum	21	0	0.01
S	1704499	Methylovulum psychrotolerans	21	21	0.01
G	413	Methylococcus	1	0	0.00
G1	2618889	unclassified Methylococcus	1	0	0.00
S	2860258	Methylococcus sp. Mc7	1	1	0.00
G	73778	Methylocaldum	1	0	0.00
S	1432792	Methylocaldum marinum	1	1	0.00
O	72273	Thiotrichales	999	0	0.44
F	135617	Thiotrichaceae	998	0	0.44
G	1030	Thiothrix	998	0	0.44
S	2891210	Thiothrix litoralis	996	996	0.44
S	111770	Thiothrix fructosivorans	1	1	0.00
S	2735563	Thiothrix subterranea	1	1	0.00
F	34064	Francisellaceae	1	0	0.00
G	262	Francisella	1	0	0.00
S	263	Francisella tularensis	1	1	0.00
O	1692040	Acidiferrobacterales	986	0	0.43
F	1692041	Acidiferrobacteraceae	986	0	0.43
G	1744881	Sulfuricaulis	986	0	0.43
S	1620215	Sulfuricaulis limicola	986	986	0.43
O	135623	Vibrionales	963	0	0.42
F	641	Vibrionaceae	963	0	0.42
G	662	Vibrio	953	3	0.42
S	2479546	Vibrio zhugei	940	940	0.41
S	29495	Vibrio navarrensis	6	6	0.00
S	1891186	Vibrio aphrogenes	3	3	0.00
S	1824638	Vibrio japonicus	1	1	0.00
G	657	Photobacterium	9	0	0.00
S	659	Photobacterium phosphoreum	8	8	0.00
S	553611	Photobacterium leiognathi	1	0	0.00
S1	48408	Photobacterium leiognathi subsp. mandapamensis	1	1	0.00
G	2042066	Paraphotobacterium	1	0	0.00
S	1755811	Paraphotobacterium marinum	1	1	0.00
O	135619	Oceanospirillales	865	0	0.38
F	28256	Halomonadaceae	482	0	0.21
G	2745	Halomonas	426	0	0.19
S	2778948	Halomonas bluephagenesis	188	188	0.08
G1	2609666	unclassified Halomonas	153	0	0.07
S	2883106	Halomonas sp. NyZ770	151	151	0.07
S	2749040	Halomonas sp. SH5A2	1	1	0.00
S	2855441	Halomonas sp. 18071143	1	1	0.00
S	507626	Halomonas chromatireducens	85	85	0.04
G	404432	Salinicola	49	48	0.02
G1	2634022	unclassified Salinicola	1	0	0.00
S	3050071	Salinicola sp. JS01	1	1	0.00
G	3137761	Billgrantia	5	0	0.00
S	2497861	Billgrantia tianxiuensis	5	5	0.00
G	376488	Halotalea	1	0	0.00
S	376489	Halotalea alkalilenta	1	1	0.00
G	3137766	Vreelandella	1	0	0.00
S	29571	Vreelandella subglaciescola	1	1	0.00
F	224372	Alcanivoracaceae	318	0	0.14
G	3020833	Isoalcanivorax	317	0	0.14
S	1306787	Isoalcanivorax pacificus	317	0	0.14
S1	391936	Isoalcanivorax pacificus W11-5	317	317	0.14
G	59753	Alcanivorax	1	1	0.00
F	135620	Oceanospirillaceae	64	0	0.03
G	2893036	Venatoribacter	43	0	0.02
S	2661630	Venatoribacter cucullus	43	43	0.02
G	48075	Marinobacterium	20	0	0.01
S	1821621	Marinobacterium aestuarii	14	14	0.01
S	420402	Marinobacterium rhizophilum	6	6	0.00
G	267849	Nitrincola	1	0	0.00
S	2614693	Nitrincola iocasae	1	1	0.00
F	224379	Hahellaceae	1	0	0.00
G	158481	Hahella	1	0	0.00
G1	2624107	unclassified Hahella	1	0	0.00
S	1628392	Hahella sp. KA22	1	1	0.00
O	118969	Legionellales	505	0	0.22
F	444	Legionellaceae	504	0	0.22
G	445	Legionella	504	0	0.22
S	96232	Legionella lytica	504	504	0.22
F	118968	Coxiellaceae	1	0	0.00
G	59195	Rickettsiella	1	0	0.00
G1	2637345	unclassified Rickettsiella	1	0	0.00
S	2856608	Rickettsiella endosymbiont of Dermanyssus gallinae	1	1	0.00
O	135613	Chromatiales	244	0	0.11
F	72276	Ectothiorhodospiraceae	207	0	0.09
G	1765964	Acidihalobacter	135	0	0.06
S	2792603	Acidihalobacter aeolianus	135	135	0.06
G	106633	Thioalkalivibrio	71	0	0.03
S	186931	Thioalkalivibrio nitratireducens	71	0	0.03
S1	1255043	Thioalkalivibrio nitratireducens DSM 14787	71	71	0.03
G	133193	Alkalilimnicola	1	0	0.00
S	351052	Alkalilimnicola ehrlichii	1	0	0.00
S1	187272	Alkalilimnicola ehrlichii MLHE-1	1	1	0.00
F	1046	Chromatiaceae	31	0	0.01
G	2828366	Caldichromatium	20	0	0.01
S	2699430	Caldichromatium japonicum	20	20	0.01
G	85073	Thermochromatium	10	0	0.00
S	1050	Thermochromatium tepidum	10	0	0.00
S1	316276	Thermochromatium tepidum ATCC 43061	10	10	0.00
G	1227	Nitrosococcus	1	0	0.00
S	473531	Nitrosococcus watsonii	1	0	0.00
S1	105559	Nitrosococcus watsonii C-113	1	1	0.00
F	1676141	Wenzhouxiangellaceae	4	0	0.00
G	1676142	Wenzhouxiangella	4	0	0.00
S	1579979	Wenzhouxiangella marina	4	4	0.00
F	2035710	Thioalkalibacteraceae	2	0	0.00
G	2035712	Guyparkeria	2	0	0.00
S	47960	Guyparkeria halophila	2	2	0.00
O	135622	Alteromonadales	40	2	0.02
F	267893	Idiomarinaceae	30	0	0.01
G	135575	Idiomarina	30	0	0.01
S	135577	Idiomarina loihiensis	30	30	0.01
F	267890	Shewanellaceae	7	0	0.00
G	22	Shewanella	7	1	0.00
S	1965282	Shewanella khirikhana	3	3	0.00
S	558541	Shewanella chilikensis	1	1	0.00
S	2814294	Shewanella avicenniae	1	1	0.00
S	2726434	Shewanella oncorhynchi	1	1	0.00
F	267888	Pseudoalteromonadaceae	1	0	0.00
G	53246	Pseudoalteromonas	1	0	0.00
G1	194690	unclassified Pseudoalteromonas	1	0	0.00
S	1514074	Pseudoalteromonas sp. NC201	1	1	0.00
O	3085109	Thiohalobacterales	2	0	0.00
F	3085110	Thiohalobacteraceae	2	0	0.00
G	1273155	Thiohalobacter	2	1	0.00
G1	2631224	unclassified Thiohalobacter	1	0	0.00
S	2795687	Thiohalobacter sp. COW1	1	1	0.00
O	3060226	Steroidobacterales	1	0	0.00
F	2689614	Steroidobacteraceae	1	0	0.00
G	469322	Steroidobacter	1	0	0.00
S	465721	Steroidobacter denitrificans	1	1	0.00
C	28216	Betaproteobacteria	47040	14	20.55
O	80840	Burkholderiales	31826	8	13.90
F	80864	Comamonadaceae	16522	21	7.22
G	12916	Acidovorax	6624	0	2.89
S	80878	Acidovorax temperans	6612	6612	2.89
G1	2684926	unclassified Acidovorax	9	0	0.00
S	2714923	Acidovorax sp. HDW3	4	4	0.00
S	1842533	Acidovorax sp. RAC01	2	2	0.00
S	3095606	Acidovorax sp. DW039	2	2	0.00
S	2940492	Acidovorax sp. GBBC 1281	1	1	0.00
S	553814	Acidovorax carolinensis	3	3	0.00
G	283	Comamonas	4751	4	2.08
S	225991	Comamonas aquatica	2919	2919	1.27
S	379895	Comamonas odontotermitis	1598	1598	0.70
S	1082851	Comamonas serinivorans	172	172	0.08
S	1562974	Comamonas piscis	29	29	0.01
G1	2638500	unclassified Comamonas	8	0	0.00
S	2853257	Comamonas sp. Y33R10-2	4	4	0.00
S	2853163	Comamonas sp. NLF-1-9	3	3	0.00
S	2918299	Comamonas sp. B21-038	1	1	0.00
S	2949090	Comamonas endophytica	5	5	0.00
S	285	Comamonas testosteroni	4	4	0.00
S	225992	Comamonas kerstersii	4	4	0.00
S	32013	Comamonas terrigena	2	0	0.00
S1	1219032	Comamonas terrigena NBRC 13299	2	2	0.00
S	3046670	Comamonas resistens	2	2	0.00
S	363952	Comamonas thiooxydans	1	1	0.00
S	2597701	Comamonas flocculans	1	1	0.00
S	2743470	Comamonas antarctica	1	1	0.00
S	2796366	Comamonas fluminis	1	1	0.00
G	219181	Ottowia	1479	1	0.65
S	2109914	Ottowia oryzae	1055	1055	0.46
S	2816950	Ottowia testudinis	419	419	0.18
G1	2645081	unclassified Ottowia	4	0	0.00
S	3081231	Ottowia sp. SB7-C50	3	3	0.00
S	1658672	Ottowia sp. oral taxon 894	1	1	0.00
G	34072	Variovorax	1421	14	0.62
S	34073	Variovorax paradoxus	1387	14	0.61
S1	1246301	Variovorax paradoxus B4	1371	1371	0.60
S1	595537	Variovorax paradoxus EPS	2	2	0.00
G1	663243	unclassified Variovorax	16	4	0.01
S	2762322	Variovorax sp. PAMC26660	4	4	0.00
S	2762323	Variovorax sp. PAMC28562	3	3	0.00
S	1034889	Variovorax sp. HW608	2	2	0.00
S	282217	Variovorax sp. SRS16	1	1	0.00
S	1795631	Variovorax sp. PAMC 28711	1	1	0.00
S	207745	Variovorax sp. WDL1	1	1	0.00
S	436515	Variovorax boronicumulans	4	4	0.00
G	1649468	Melaminivora	589	0	0.26
S	2109913	Melaminivora suipulveris	542	542	0.24
S	1267217	Melaminivora jejuensis	47	47	0.02
G	3051138	Paenacidovorax	575	0	0.25
S	1926868	Paenacidovorax monticola	575	575	0.25
G	238749	Diaphorobacter	378	2	0.17
S	164759	Diaphorobacter nitroreducens	315	315	0.14
S	1288495	Diaphorobacter aerolatus	43	43	0.02
G1	2649760	unclassified Diaphorobacter	11	2	0.00
S	2714924	Diaphorobacter sp. HDW4A	4	4	0.00
S	2866628	Diaphorobacter sp. MNS-0	2	2	0.00
S	2714925	Diaphorobacter sp. HDW4B	1	1	0.00
S	3016636	Diaphorobacter sp. ED-3	1	1	0.00
S	3060154	Diaphorobacter sp. C33	1	1	0.00
S	1715720	Diaphorobacter ruginosibacter	3	3	0.00
S	3036128	Diaphorobacter limosus	3	3	0.00
S	721785	[Acidovorax] ebreus	1	0	0.00
S1	535289	[Acidovorax] ebreus TPSY	1	1	0.00
G	2678886	Pulveribacter	367	0	0.16
S	2116657	Pulveribacter suum	367	367	0.16
G	47420	Hydrogenophaga	128	2	0.06
G1	2610897	unclassified Hydrogenophaga	48	4	0.02
S	2806347	Hydrogenophaga sp. SL48	24	24	0.01
S	1842537	Hydrogenophaga sp. RAC07	7	7	0.00
S	2651974	Hydrogenophaga sp. BPS33	4	4	0.00
S	795665	Hydrogenophaga sp. PBC	3	3	0.00
S	434010	Hydrogenophaga sp. PBL-H3	2	2	0.00
S	2565558	Hydrogenophaga sp. PAMC20947	2	2	0.00
S	2184519	Hydrogenophaga sp. NH-16	1	1	0.00
S	3098762	Hydrogenophaga sp. SNF1	1	1	0.00
S	65656	Hydrogenophaga taeniospiralis	40	40	0.02
S	1763535	Hydrogenophaga crassostreae	37	37	0.02
G1	199682	environmental samples	1	0	0.00
S	199683	uncultured Hydrogenophaga sp.	1	1	0.00
G	28065	Rhodoferax	91	0	0.04
S	1842727	Rhodoferax koreense	84	84	0.04
G1	2627954	unclassified Rhodoferax	3	0	0.00
S	2741720	Rhodoferax sp. BAB1	3	3	0.00
S	1484693	Rhodoferax saidenbachensis	2	2	0.00
G1	54524	environmental samples	1	0	0.00
S	223188	uncultured Rhodoferax sp.	1	1	0.00
S	81479	Rhodoferax antarcticus	1	1	0.00
G	52972	Polaromonas	77	0	0.03
S	216465	Polaromonas naphthalenivorans	77	0	0.03
S1	365044	Polaromonas naphthalenivorans CJ2	77	77	0.03
G	80865	Delftia	5	0	0.00
S	180282	Delftia tsuruhatensis	3	3	0.00
S	80866	Delftia acidovorans	2	2	0.00
G	3051137	Paracidovorax	4	1	0.00
S	80869	Paracidovorax citrulli	2	2	0.00
S	80867	Paracidovorax avenae	1	1	0.00
G	201096	Alicycliphilus	3	0	0.00
S	179636	Alicycliphilus denitrificans	3	0	0.00
S1	596153	Alicycliphilus denitrificans BC	2	2	0.00
S1	596154	Alicycliphilus denitrificans K601	1	1	0.00
G	352450	Simplicispira	2	0	0.00
S	2109915	Simplicispira suum	2	2	0.00
G	2490452	Serpentinimonas	2	0	0.00
S	1458425	Serpentinimonas raichei	2	2	0.00
G	1436289	Candidatus Symbiobacter	2	0	0.00
S	1436290	Candidatus Symbiobacter mobilis	2	0	0.00
S1	946483	Candidatus Symbiobacter mobilis CR	2	2	0.00
G	174951	Ramlibacter	1	0	0.00
S	94132	Ramlibacter tataouinensis	1	1	0.00
G	665874	Limnohabitans	1	0	0.00
G1	2626134	unclassified Limnohabitans	1	0	0.00
S	1678129	Limnohabitans sp. 103DPR2	1	1	0.00
G	232523	Hylemonella	1	0	0.00
S	80880	Hylemonella gracilis	1	1	0.00
F	506	Alcaligenaceae	5820	0	2.54
G	222	Achromobacter	4524	181	1.98
S	217203	Achromobacter spanius	1148	1148	0.50
G1	2626865	unclassified Achromobacter	943	81	0.41
S	1758194	Achromobacter sp. AONIH1	319	319	0.14
S	2860286	Achromobacter sp. ES-001	234	234	0.10
S	2282475	Achromobacter sp. B7	167	167	0.07
S	1881016	Achromobacter sp. MFA1 R4	85	85	0.04
S	2756133	Achromobacter sp. 77	40	40	0.02
S	3141581	Achromobacter sp. E1	17	17	0.01
S	3047478	Achromobacter seleniivolatilans	689	689	0.30
S	1353891	Achromobacter deleyi	535	535	0.23
S	85698	Achromobacter xylosoxidans	481	44	0.21
S1	762376	Achromobacter xylosoxidans A8	437	437	0.19
S	217204	Achromobacter insolitus	212	212	0.09
S	32002	Achromobacter denitrificans	155	155	0.07
S	2069367	Achromobacter veterisilvae	105	105	0.05
S	1353889	Achromobacter pestifer	71	71	0.03
S	72557	Achromobacter ruhlandii	3	3	0.00
S	1389922	Achromobacter mucicolens	1	1	0.00
G	1921582	Orrella	787	0	0.34
S	2163011	Orrella marina	787	787	0.34
G	507	Alcaligenes	277	2	0.12
S	511	Alcaligenes faecalis	196	196	0.09
S	323284	Alcaligenes aquatilis	79	79	0.03
G	152267	Pigmentiphaga	166	0	0.07
S	1940612	Pigmentiphaga aceris	166	166	0.07
G	290425	Advenella	61	0	0.03
S	302406	Advenella mimigardefordensis	60	0	0.03
S1	1247726	Advenella mimigardefordensis DPN7	60	60	0.03
S	1481665	Advenella alkanexedens	1	1	0.00
G	2987599	Pollutimonas	2	0	0.00
S	2028345	Pollutimonas thiosulfatoxidans	2	2	0.00
G	2987605	Neopusillimonas	2	0	0.00
S	2979868	Neopusillimonas aromaticivorans	2	2	0.00
G	517	Bordetella	1	0	0.00
G1	2630031	unclassified Bordetella	1	0	0.00
S	1697043	Bordetella sp. H567	1	1	0.00
O1	224471	Burkholderiales genera incertae sedis	3957	0	1.73
G	32012	Thiomonas	2297	0	1.00
S	426114	Thiomonas arsenitoxydans	1202	1202	0.53
S	926	Thiomonas intermedia	1095	1095	0.48
G	54066	Xylophilus	938	0	0.41
S	2697032	Xylophilus rhododendri	938	938	0.41
G	92793	Aquabacterium	722	0	0.32
S	1296669	Aquabacterium olei	718	718	0.31
G1	2620789	unclassified Aquabacterium	4	0	0.00
S	2898431	Aquabacterium sp. J223	4	4	0.00
F	119060	Burkholderiaceae	2936	2	1.28
G	106589	Cupriavidus	926	1	0.40
S	2608999	Cupriavidus cauae	436	436	0.19
S	106590	Cupriavidus necator	425	418	0.19
S1	1042878	Cupriavidus necator N-1	7	7	0.00
S	82541	Cupriavidus gilardii	55	55	0.02
S	68895	Cupriavidus basilensis	3	3	0.00
S	82633	Cupriavidus pauculus	2	2	0.00
S	151783	Cupriavidus campinensis	2	2	0.00
S	164546	Cupriavidus taiwanensis	1	1	0.00
G1	2640874	unclassified Cupriavidus	1	0	0.00
S	2027911	Cupriavidus sp. P-10	1	1	0.00
G	93217	Pandoraea	670	2	0.29
S	656179	Pandoraea faecigallinarum	594	594	0.26
S	93219	Pandoraea norimbergensis	49	49	0.02
S	93220	Pandoraea pnomenusa	22	22	0.01
S	93222	Pandoraea sputorum	1	1	0.00
S	1891094	Pandoraea fibrosis	1	1	0.00
S	2508289	Pandoraea commovens	1	1	0.00
G	32008	Burkholderia	638	0	0.28
S	2615214	Burkholderia perseverans	451	451	0.20
S	41899	Burkholderia plantarii	160	160	0.07
G1	87882	Burkholderia cepacia complex	27	2	0.01
S	60552	Burkholderia vietnamiensis	13	13	0.01
S	87883	Burkholderia multivorans	5	5	0.00
S	60550	Burkholderia pyrrocinia	3	3	0.00
S	95486	Burkholderia cenocepacia	3	0	0.00
S1	331272	Burkholderia cenocepacia HI2424	3	3	0.00
S	152500	Burkholderia dolosa	1	1	0.00
G	1822464	Paraburkholderia	344	0	0.15
S	2861782	Paraburkholderia edwinii	304	304	0.13
S	311230	Paraburkholderia terrae	30	30	0.01
S	2604047	Paraburkholderia dioscoreae	5	5	0.00
S	92647	Paraburkholderia tropica	2	2	0.00
S	2547399	Paraburkholderia pallida	1	1	0.00
S	2026199	Paraburkholderia aromaticivorans	1	1	0.00
S	261302	Paraburkholderia phytofirmans	1	0	0.00
S1	398527	Paraburkholderia phytofirmans PsJN	1	1	0.00
G	48736	Ralstonia	212	0	0.09
S	105219	Ralstonia mannitolilytica	163	163	0.07
G1	3116862	Ralstonia solanacearum species complex	48	0	0.02
S	28097	Ralstonia syzygii	46	39	0.02
S1	907261	Ralstonia syzygii R24	4	4	0.00
S1	1310168	Ralstonia syzygii subsp. celebesensis	3	3	0.00
S	305	Ralstonia solanacearum	2	2	0.00
S	329	Ralstonia pickettii	1	1	0.00
G	44013	Polynucleobacter	83	0	0.04
S	576610	Polynucleobacter necessarius	69	69	0.03
G1	2640945	unclassified Polynucleobacter	12	0	0.01
S	2982615	Polynucleobacter sp. KF022	4	4	0.00
S	1758395	Polynucleobacter sp. JS-JIR-5-A7	2	2	0.00
S	1855909	Polynucleobacter sp. MWH-Svant-W18	2	2	0.00
S	1758374	Polynucleobacter sp. TSB-Sco08W16	1	1	0.00
S	2689107	Polynucleobacter sp. MWH-CaK5	1	1	0.00
S	2770234	Polynucleobacter sp. Adler-ghost	1	1	0.00
S	2689109	Polynucleobacter sp. MWH-Spelu-300-X4	1	1	0.00
S	1743159	Polynucleobacter yangtzensis	2	2	0.00
G	1827195	Caballeronia	59	0	0.03
S	758793	Caballeronia insecticola	59	59	0.03
G	47670	Lautropia	1	0	0.00
S	47671	Lautropia mirabilis	1	1	0.00
G	1810868	Mycoavidus	1	0	0.00
S	1553431	Mycoavidus cysteinexigens	1	1	0.00
F	75682	Oxalobacteraceae	977	0	0.43
G	202907	Collimonas	773	2	0.34
S	279113	Collimonas pratensis	314	314	0.14
S	158899	Collimonas fungivorans	270	119	0.12
S1	1005048	Collimonas fungivorans Ter331	151	151	0.07
S	279058	Collimonas arenae	187	187	0.08
F1	2895353	Telluria group	153	0	0.07
G	1522432	Pseudoduganella	130	0	0.06
S	864828	Pseudoduganella umbonata	111	111	0.05
S	321985	Pseudoduganella lutea	10	10	0.00
S	2072590	Pseudoduganella armeniaca	8	8	0.00
S	321983	Pseudoduganella albidiflava	1	1	0.00
G	149698	Massilia	23	0	0.01
S	2045208	Massilia violaceinigra	13	13	0.01
S	1141883	Massilia putida	4	4	0.00
S	2728020	Massilia forsythiae	4	4	0.00
G1	2609279	unclassified Massilia	2	1	0.00
S	1707785	Massilia sp. WG5	1	1	0.00
G	29580	Janthinobacterium	51	0	0.02
S	2590869	Janthinobacterium tructae	22	22	0.01
S	368607	Janthinobacterium svalbardensis	19	19	0.01
G1	2610881	unclassified Janthinobacterium	9	0	0.00
S	1938606	Janthinobacterium sp. LM6	4	4	0.00
S	2861284	Janthinobacterium sp. PAMC25594	4	4	0.00
S	3065910	Janthinobacterium sp. J1-1	1	1	0.00
S	2751478	Janthinobacterium rivuli	1	1	0.00
F	2975441	Sphaerotilaceae	856	0	0.37
G	1114981	Piscinibacter	567	0	0.25
S	946333	Piscinibacter gummiphilus	566	566	0.25
G1	2627988	unclassified Piscinibacter	1	0	0.00
S	3037797	Piscinibacter sp. XHJ-5	1	1	0.00
G	644355	Inhella	181	0	0.08
S	392593	Inhella inkyongensis	181	181	0.08
G	88	Leptothrix	46	0	0.02
S	34029	Leptothrix cholodnii	46	0	0.02
S1	395495	Leptothrix cholodnii SP-6	46	46	0.02
G	28067	Rubrivivax	39	0	0.02
S	28068	Rubrivivax gelatinosus	39	0	0.02
S1	983917	Rubrivivax gelatinosus IL144	39	39	0.02
G	196013	Caldimonas	22	0	0.01
S	413882	Caldimonas brevitalea	11	11	0.00
S	215580	Caldimonas thermodepolymerans	9	9	0.00
S	376175	Schlegelella aquatica	2	2	0.00
G	36862	Ideonella	1	0	0.00
S	36863	Ideonella dechloratans	1	1	0.00
F	995019	Sutterellaceae	750	0	0.33
G	1980697	Duodenibacillus	635	0	0.28
S	1852381	Duodenibacillus massiliensis	635	635	0.28
G	40544	Sutterella	115	0	0.05
S	2584944	Sutterella faecalis	115	115	0.05
O	206351	Neisseriales	9852	1	4.30
F	481	Neisseriaceae	7620	1	3.33
G	299568	Uruburuella	6141	0	2.68
S	252130	Uruburuella suis	5113	5113	2.23
S	1282863	Uruburuella testudinis	1028	1028	0.45
G	2944815	Wielerella	952	0	0.42
S	2917790	Wielerella bovis	952	952	0.42
G	194195	Alysiella	373	0	0.16
S	153491	Alysiella crassa	373	373	0.16
G	32257	Kingella	86	0	0.04
S	1522312	Kingella negevensis	83	83	0.04
S	504	Kingella kingae	3	3	0.00
G	2898489	Paralysiella	64	0	0.03
S	2809020	Paralysiella testudinis	64	64	0.03
G	1193515	Snodgrassella	3	0	0.00
S	1196083	Snodgrassella alvi	3	3	0.00
F	1499392	Chromobacteriaceae	1800	0	0.79
G	535	Chromobacterium	1217	170	0.53
S	1778675	Chromobacterium rhizoryzae	991	991	0.43
S	394935	Chromobacterium haemolyticum	30	30	0.01
G1	2641838	unclassified Chromobacterium	11	1	0.00
S	2735795	Chromobacterium sp. Beijing	8	8	0.00
S	2059672	Chromobacterium sp. ATCC 53434	1	1	0.00
S	2953890	Chromobacterium sp. IIBBL 290-4	1	1	0.00
S	251747	Chromobacterium subtsugae	6	6	0.00
S	536	Chromobacterium violaceum	3	2	0.00
S1	243365	Chromobacterium violaceum ATCC 12472	1	1	0.00
S	2202141	Chromobacterium phragmitis	3	3	0.00
S	1108595	Chromobacterium vaccinii	2	2	0.00
S	1382803	Chromobacterium amazonense	1	1	0.00
G	400060	Paludibacterium	564	0	0.25
S	1225769	Paludibacterium paludis	500	500	0.22
S	400061	Paludibacterium yongneupense	64	64	0.03
G	407217	Aquitalea	18	0	0.01
S	1537400	Aquitalea aquatilis	18	18	0.01
G	568394	Pseudogulbenkiania	1	0	0.00
G1	2642558	unclassified Pseudogulbenkiania	1	0	0.00
S	748280	Pseudogulbenkiania sp. NH8B	1	1	0.00
F	2897177	Chitinibacteraceae	430	0	0.19
G	400947	Deefgea	224	0	0.10
S	2865840	Deefgea tanakiae	224	224	0.10
G	240411	Chitinimonas	193	0	0.08
S	356302	Chitinimonas koreensis	193	193	0.08
G	1055692	Chitinolyticbacter	13	0	0.01
S	682798	Chitinolyticbacter meiyuanensis	13	13	0.01
F	2897176	Aquaspirillaceae	1	0	0.00
G	57479	Microvirgula	1	0	0.00
S	57480	Microvirgula aerodenitrificans	1	1	0.00
O	206389	Rhodocyclales	3199	0	1.40
F	2008794	Zoogloeaceae	3139	0	1.37
G	2891323	Pseudazoarcus	2682	0	1.17
S	2067960	Pseudazoarcus pumilus	2682	2682	1.17
G	2891324	Pseudothauera	380	0	0.17
S	2184083	Pseudothauera hydrothermalis	380	380	0.17
G	33057	Thauera	58	1	0.03
S	1134435	Thauera humireducens	34	34	0.01
S	96773	Thauera chlorobenzoica	20	20	0.01
G1	2609274	unclassified Thauera	2	0	0.00
S	3142262	Thauera sp. JM12B12	2	2	0.00
S	59405	Thauera aromatica	1	0	0.00
S1	44139	Thauera aromatica K172	1	1	0.00
G	12960	Azoarcus	18	0	0.01
G1	2629479	unclassified Azoarcus	18	0	0.01
S	356837	Azoarcus sp. DN11	18	18	0.01
G	2891294	Nitrogeniibacter	1	0	0.00
S	2016596	Nitrogeniibacter mangrovi	1	1	0.00
F	75787	Rhodocyclaceae	57	0	0.02
G	551759	Aromatoleum	28	0	0.01
S	76115	Aromatoleum bremense	27	27	0.01
S	551760	Aromatoleum aromaticum	1	1	0.00
G	1769726	Niveibacterium	15	0	0.01
S	2811415	Niveibacterium microcysteis	15	15	0.01
G	146937	Azospira	14	0	0.01
